No	Tweets	Label
368	@USER @USER Little <b>ass</b> boy🐒	Yes
369	@USER And the factory’s coming back U do n a movie on that... sum worth do n.. cause just sling <b>shit</b> shows No intelligence..	No
370	@USER 😂 <b>nigga</b> hit em wit the o well lowkie	No
371	GOP VOTERS BETTER WAKE THE <b>hell</b> UP!!!!! #RNC poll finds #GOP voters aren't worried about midterms. That's bad URL via @USER #MAGA #TuesdayThoughts	No
372	@USER Lol okay cuz this <b>shit</b> gotta be discreet 😂	No
373	@USER His mouth goes to one side all smirky and <b>shit</b> and I don’t like it.	Yes
374	@USER Bad <b>ass</b> bitch	No
375	@USER Bad ass <b>bitch</b>	No
376	@USER Die <b>bitch</b>	Yes
377	@USER @USER @USER @USER @USER Holy <b>shit</b> that's awesome	No
378	@USER Brennan sure as <b>hell</b> is.	No
379	@USER Since Lebron eat <b>ass</b> I guess I have to now URL	No
380	@USER LMAO man people were talking so much <b>shit</b> yesterday. Any comment Marvel stan twitter? Moe overused Thanos jokes or... URL	No
381	@USER He can go to <b>hell</b>	Yes
382	@USER Lucky <b>bitch</b> 😂💀	No
383	@USER Maybe there wouldn't be 5 of these things a day of there was a little sensible gun control in this <b>fucking</b> country.	Yes
384	@USER @USER You ain’t doin your part then 😂 check them <b>pussies</b> I’m from the hood and I still don’t say the N word cause I’m a little more educated I got other ways to describe my brother or friends. I feel the same way as you though too many peopl	Yes
385	@USER My coworker has a sick <b>ass</b> one for work	Yes
386	@USER gonna need a whole <b>ass</b> rant thread done in the utara loghat to really feel it haha	No
387	@USER @USER @USER @USER For a moment I thought you were about deaths Sounded <b>fucked</b> up sick at first.	Yes
388	.@USER HOSTILE ENVIRONMENT against the POOREST and most VULNERABLE in our society just keeps on rolling. So much for #ChristianMorals eh? If you voted for this <b>shit</b> then HANG YOUR HEAD IN SHAME. @USER #JC4PMNow #POVERTY #DisabilityRights URL	Yes
389	@USER Oh <b>shit</b>	No
390	@USER @USER She’s trolling to <b>fuck</b> with you cause some of y’all be quick to call mfs coons for minor disagreements	No
391	@USER @USER I hate @USER so much now. They <b>fucked</b> up the whole franchise.	Yes
392	@USER @USER rae sis don't say no offense" then like tweets calling me a sad <b>bitch</b> also im truly shocked ur on the L6 train this year"	No
393	@USER <b>damn</b> that headgear is lit sucks im not on pc ubi plz for console to	No
394	@USER hey Samsung on your website you declined me. 2 times for credit I can afford your phone without your <b>ass</b> this is my second one maybe next time even though I hate iPhone I'll buy iPhone so screw you	Yes
395	@USER @USER @USER That’s how a career in media works...people admire you. If people think you’re a piece of <b>shit</b> you won’t make it far.	Yes
396	@USER @USER You are out of you <b>damn</b> mind! Feinstinkle had this band then leaked it! She took a lie detector test and hired a lawyer last month! She is accusing a judge of a crime that is 35 years old with no proof! Ruining a mans life over an accus	Yes
397	@USER @USER Guess what Chicago kids go theu this <b>shit</b> every day and they have the strictest gun control around!	No
398	@USER But he is still <b>fucked</b> up for not respecting LGBTQ	Yes
399	@USER Holy <b>shit</b> how brainwashed can ya be?	No
400	@USER yeah he had to go back to the faerie world to handle <b>shit</b> there	No
401	@USER Omg he is!!!!! I <b>fucking</b> hate Dale!!!!!!	Yes
402	@USER aaaaaaaaa that’s so exciting!!! the majority of my friends are in second year at this point so the blow i’m about to receive from moving to a whole <b>ass</b> other country hasn’t hit yet.... i’m doing film studies because i hate myself apparently :	No
403	@USER @USER Oh <b>shit</b> the mafia have finally found me	No
404	@USER @USER @USER Listened". They don't give a <b>shit</b> about what the fans think. All they're doing is counting their Fox money."	No
405	@USER Good- that soundtrack you DMed me with was fire as <b>fuck</b> and I still listen to it often💪🏽 Bad- My tracks are better😭 (joking I’m shit)	No
406	@USER Good- that soundtrack you DMed me with was fire as fuck and I still listen to it often💪🏽 Bad- My tracks are better😭 (joking I’m <b>shit</b>)	No
407	@USER Oh <b>shit</b> this will trigger some bigots	No
408	@USER I'll lock yo sorry <b>ass</b> down 🤗	No
409	@USER Look at this chill as <b>fuck</b> bearded dragon URL	No
410	@USER A whole meta joke here would be my original tweet <b>fuckin</b> up the calculations.	No
411	@USER @USER @USER oh yeah Terry Porters 40 second PI Call (OSU alumn)... naw im over it... Your coach and his scumbag history... If you know anything about his history with Aaron Hernandez you would know what kind of scumbag he is... but OSU is a <b>shith	Yes
412	A little appreciation post for my bestie because she’s a bad <b>bitch</b> and I’m thankful for her💗 @USER URL	No
413	@USER @USER It's Bull <b>shit</b> We all know.	Yes
414	@USER I love my <b>penis</b> and want to keep it. Would rather smoke a joint.	No
415	@USER @USER @USER @USER @USER He had 1 offer since june! The <b>shitty</b> browns that's it!! Stop thinking he is still good you are living in the past	Yes
416	@USER @USER @USER No you wouldn't sis I know <b>damn</b> well you would probably call it cute people propose in concerts all the time yet when its a gay couple its wrong you're at a fucking concert you don't have to pay attention	No
417	@USER @USER @USER No you wouldn't sis I know damn well you would probably call it cute people propose in concerts all the time yet when its a <b>gay</b> couple its wrong you're at a fucking concert you don't have to pay attention	No
418	@USER @USER @USER No you wouldn't sis I know damn well you would probably call it cute people propose in concerts all the time yet when its a gay couple its wrong you're at a <b>fucking</b> concert you don't have to pay attention	No
419	@USER Naaa. I've spent 24 hours laughing my huge nuts off at your stupidity. You fink your some kind of entity but your all a bunch of scared antifa <b>pussies</b> wiv no muscle to see anyone you try to bully. Even that is pathetic.	Yes
420	@USER She is saying Ben, Ben, when the <b>hell</b> are you going to do something more than just tweet crap about djt?""	No
421	After all my years of complaining im finally getting my <b>bitch</b> ass wisdom teeth out so I can stop fucking crying	No
422	After all my years of complaining im finally getting my bitch <b>ass</b> wisdom teeth out so I can stop fucking crying	No
423	After all my years of complaining im finally getting my bitch ass wisdom teeth out so I can stop <b>fucking</b> crying	No
424	@USER <b>fuck</b> you dope. Not a Fox watcher. Independent voter that will never vote left. Your Party is dangerous.	Yes
425	@USER @USER @USER Old pic. Trump is not monitoring anything related to the Hurricane. Pretty sure he is <b>shitting</b> his pants right about now	No
426	@USER @USER Says the <b>bitch</b> ass boy hiding behind a keyboard it don’t hurt to ask for help sometimes can’t do everything alone you fucking clown if he can help then something is better than nothing that’s why I asked even if he can’t it don’t hurt t	Yes
427	@USER @USER Says the bitch <b>ass</b> boy hiding behind a keyboard it don’t hurt to ask for help sometimes can’t do everything alone you fucking clown if he can help then something is better than nothing that’s why I asked even if he can’t it don’t hurt t	Yes
428	@USER @USER Says the bitch ass boy hiding behind a keyboard it don’t hurt to ask for help sometimes can’t do everything alone you <b>fucking</b> clown if he can help then something is better than nothing that’s why I asked even if he can’t it don’t hurt t	Yes
429	@USER @USER Says the bitch ass boy hiding behind a keyboard it don’t hurt to ask for help sometimes can’t do everything alone you fucking clown if he can help then something is better than nothing that’s why I asked even if he can’t it don’t hurt to ask <	Yes
430	@USER @USER Says the bitch ass boy hiding behind a keyboard it don’t hurt to ask for help sometimes can’t do everything alone you fucking clown if he can help then something is better than nothing that’s why I asked even if he can’t it don’t hurt to ask f	Yes
431	@USER @USER Says the bitch ass boy hiding behind a keyboard it don’t hurt to ask for help sometimes can’t do everything alone you fucking clown if he can help then something is better than nothing that’s why I asked even if he can’t it don’t hurt to ask f	Yes
432	@USER This lies how she got the key ! Why she don’t admit she was in date or maybe had NSA with ? she is married ? What is true story ! BS ! Ok we all respct police officer but her story and excuse full of <b>shit</b> ! Please post her photo ! Let see how	Yes
433	@USER @USER @USER Don’t get on here saying that type of dumb <b>shit</b>	Yes
434	@USER already my <b>ass</b> i had so many fucking shots tonight	Yes
435	@USER already my ass i had so many <b>fucking</b> shots tonight	No
436	@USER I seriously have no more words for how <b>fucked</b> up he is. Every time I think I found the word he does something even more despicable &amp; disgusting. The best I can do is hope that he chokes in his own vomit for all of the stupid lies he's tol	Yes
437	@USER <b>fucking</b> sucks when the refs are against you. #KillTheZebras	No
438	@USER They meet many many fans it’s amazing that he remembered her don’t be a <b>bitch</b>	Yes
439	@USER @USER @USER they are <b>bullshit</b> stats. but say isn't london the murder capital of europe now? that gun control working right? germany having some SERIOUS crime problems. maybe u should take care of business at home be4 u start tweeting about th	Yes
440	@USER Someone's is asking if Davido wasn't supposed to be in Camp? Oga madam park well!! Davido's business is non of your business. Na u send am go school? Haterz... chop <b>shit</b> n die	Yes
441	@USER Everyone saying <b>fuck</b> Russ dont know a damn thing about him or watched the interview 🤷‍♂️🤷‍♂️🤷‍♂️	No
442	@USER Everyone saying fuck Russ dont know a <b>damn</b> thing about him or watched the interview 🤷‍♂️🤷‍♂️🤷‍♂️	No
443	@USER @USER Got knocked out in the first round and one a <b>shitty</b> decision	No
444	. she. is the most powerful woman on this earth oh my <b>fucking</b> god URL	No
445	@USER @USER Birch me too.. da <b>fuck</b>	No
446	@USER @USER You know good and <b>goddamn</b> well that if you tried to explain all the gun control on a military base is proof that gun grabbing laws won't do shit if you look at Fort Hood.	No
447	@USER @USER You know good and goddamn well that if you tried to explain all the gun control on a military base is proof that gun grabbing laws won't do <b>shit</b> if you look at Fort Hood.	No
448	@USER you couldn’t catch me letting some saggy whitey <b>bitch</b> talkin like this to me 😫 bitch eat dirt	Yes
449	@USER you couldn’t catch me letting some saggy whitey bitch talkin like this to me 😫 <b>bitch</b> eat dirt	Yes
450	.@USER I'm not installing your <b>shitty</b> app, but put me down for 100% for the second amendment/campus carry, 100% against gun control except violent felons". URL	Yes
451	@USER man I woulda just started hitting the wall with that <b>shit</b> It ain't nothing by dry wall and some wood beams. I'm getting through that door if I'm him.	No
452	@USER @USER @USER <b>fuck</b> yes ride it baby!	No
453	@USER What the <b>fuck</b> is this they’re trying to set him up so it looks like he somehow deserved to be shot	No
454	@USER Srsly it sucks. When ur living life it’s full of <b>bullshit</b> rules we just gotta suck up to survive	No
455	Ain’t got <b>shit</b> done today	No
456	@USER hope all is well. Thats so <b>fucked</b> Like seriously what the fuck is wrong with ppl now. Gun control is no issue though right. Thank God I live in Canada. Feel brutal for all the attacks in the U.S.A but seriously it won't go away.	No
457	@USER hope all is well. Thats so fucked Like seriously what the <b>fuck</b> is wrong with ppl now. Gun control is no issue though right. Thank God I live in Canada. Feel brutal for all the attacks in the U.S.A but seriously it won't go away.	No
458	@USER @USER Good <b>shit</b> my bad though	No
459	@USER @USER That’s so sad and terrifying; I know it’s been dropped to a 2 but all the reports I’ve seen says that doesn’t mean <b>shit</b> for this storm. All you have to do is look at pictures of that thing to realize it’s a fucking BEAST	No
460	@USER @USER That’s so sad and terrifying; I know it’s been dropped to a 2 but all the reports I’ve seen says that doesn’t mean shit for this storm. All you have to do is look at pictures of that thing to realize it’s a <b>fucking</b> BEAST	No
461	@USER @USER She can lie in the <b>shit</b> she created	Yes
462	@USER I ain’t <b>fucking</b> w/u today lol	No
463	@USER @USER @USER U don’t think bad stuff happens to men in cars? <b>shit</b> happens to everyone it’s just your mindset on how you deal with possible issues like that. You can’t spend your whole life worrying about something that most likely won’t happen	No
464	@USER Dear Paul McFartney- You had us at Beatles. You lost us at President Mad Captain. Burn in <b>hell</b> Jon." URL	Yes
465	@USER nah my foodie <b>ass</b> will gladly say it. that works on absolutely no one's fucking palate.	No
466	@USER nah my foodie ass will gladly say it. that works on absolutely no one's <b>fucking</b> palate.	No
467	@USER that’s so <b>fucked</b> up omg in my old hs there’s open campus and for every period you skip there’s a 200 dollar fine lmaooo	No
468	@USER I miss you <b>bitch</b>	No
469	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER 😁TeleSmokaCatin' <b>damn</b> that looked better in my head😁😉🤣😎	No
470	@USER what the <b>fuck</b>	No
471	@USER Not surprising. That I*n C*nnor <b>nigga</b> was on the payroll	No
472	@USER @USER @USER Hah! The <b>fucking</b> Chats!?! ‘Onya Boys!	No
473	@USER @USER @USER @USER <b>shitting</b> yourself more like.	No
474	@USER Twitter has a clear leftist agenda as seen in all the comments from conservatives asking, why is this leftist <b>shit</b> in my feed?" We didn't ask for it. We don't want it. Stop trying to push it on us."	Yes
475	@USER I'm an <b>asshole</b> though	No
476	@USER These <b>bitches</b> on my brain	Yes
477	@USER I'm glad you think so. I know you could kick his <b>ass</b> yourself, but I'll always have your back." He knows he is doing his best. "That's awful. That you had to live like that. No child should have to experience such things." Shitty people like 	No
478	@USER I'm glad you think so. I know you could kick his ass yourself, but I'll always have your back." He knows he is doing his best. "That's awful. That you had to live like that. No child should have to experience such things." <b>shitty</b>  people like	Yes
479	@USER @USER Good Morning! I just followed you back! Let's give these crazy Liberals <b>hell</b>	Yes
480	@USER @USER @USER @USER @USER That's why I am somewhat conflicted in talking <b>shit</b> or defending myself because there are so many VERY INTELLIGENT bright minds out there that have been held hostage by MSM propaganda Peddling. But uhave to read these 	No
481	@USER That’s <b>shitty</b>	Yes
482	@USER The <b>fuck</b>	No
483	@USER Empty headed bushie <b>whore</b>	Yes
484	@USER @USER Or maybe this...The very fine people" the <b>dipshit</b> "president" was talking about. Antifa isn't the "left". They're a fringe, far left, anti fascist movement. To lump the "left" in as antifa is to lump the ""right"" in with the neo nazi's	Yes
485	@USER @USER I had to click on it just to see what the <b>hell</b> you were talking about. I still don't know. Is your war on conservatives like the war on christmas?	No
486	@USER <b>damn</b> catholics.	Yes
487	20. Close ties w/nra &amp; funding more imp than people's lives &amp; sensible gun control; 21. Attempting to defend Planned Parenthood whilst at same time rolling back intelligent sex education &amp; replacing with abstinence only teachings which is just <b>fucking</b> stupid;	Yes
488	@USER Liberals: Anderson Cooper is <b>gay</b> which by default means he can never do wrong. Also liberals: Trump Jr is a pos because of who is Dad is.	No
489	@USER @USER Because you have paranoid and always spam OMG SHE IS 16 SHE IS 16 SHE IS 16 SHE IS 16" And you spam to everyone that SHE IS 16 and Credit Telltale in your every posts. It's so <b>fucking</b> funny for me. Chill out. No one cares that she's 16.	No
490	@USER You are apiece of <b>shit</b> WHY WOULD YOU KILL THAT ANIMAL? How is your mother?	Yes
491	@USER @USER @USER Gotta love when the uninformed point to Venezuela as though it's the inevitable result of socialism! Socialism? Venezuela!" Gun control? "Chicago!" It's like watching a round of <b>shitty</b> Jeopardy, where no one knows a damn thing but	Yes
492	@USER @USER @USER Gotta love when the uninformed point to Venezuela as though it's the inevitable result of socialism! Socialism? Venezuela!" Gun control? "Chicago!" It's like watching a round of shitty Jeopardy, where no one knows a <b>damn</b> thing but	Yes
493	@USER <b>fuck</b> a drug test	No
494	@USER As someone who had never played Spiderman 2 as a kid: I want and tried it a year or 2 back and idk what kinda collective nostalgia people are on but those web swinging mechanics are busted as <b>fuck</b> and kinda trash.	No
495	@USER the democommunists have allready destroyed america put men in a womens bathroom right to child molestors n child killers n illegals have more rights than americans if u think im wrong bill say something besides kissing liberals <b>asses</b>	Yes
496	@USER yes <b>bitch</b> 💖💓	No
497	@USER @USER @USER Lil girl we having an adult conversation so take your thin <b>ass</b> on somewhere ya dig	Yes
498	@USER I hope the <b>fuck</b> not	No
499	@USER Could have been you if you didn’t stop taking Molly and <b>shit</b> Glad you changed and are still around. Absolutely sucks max passed. Such an amazing artist! Rip Mac.	No
500	@USER <b>damn</b> I felt this shit Why you so loud lol	No
501	@USER damn I felt this <b>shit</b> Why you so loud lol	No
502	@USER @USER @USER @USER @USER You are so full of <b>shit</b> A.) Violent crime is down &amp; has been on the decline for decades B.) Where gun crime is a problem, it is a state &amp; local problem &amp; no so called common sense" gun control law passed at	Yes
503	@USER @USER @USER I suggest that you get worser jobs as you are just what they don’t want. you might of even been in the same office. You might of been arguing with yourself. your just both <b>gay</b>	Yes
504	@USER Can you imagine being married to that crazy <b>bitch</b> Good God!	Yes
505	@USER The term parasite" has now been added to my list of <b>fuck</b> you" terms, which also includes the term "widget"."	No
506	@USER Go out like Seinfeld and cancel the series while it's hot! Jk don't you <b>fucking</b> dare. This better have a 50 issue plan.	No
507	@USER call me a dog cause DAM... I got a bone for you <b>nigga</b> 😘	No
508	&lt;God's chosen leader" my <b>ass</b> fuck Christian conservatives!!!&gt; Baptist pastor Brian Kaylor claims Sarah Huckabee Sanders lies to defend “God’s chosen leader” URL	Yes
509	&lt;God's chosen leader" my ass <b>fuck</b> Christian conservatives!!!&gt; Baptist pastor Brian Kaylor claims Sarah Huckabee Sanders lies to defend “God’s chosen leader” URL	Yes
510	@USER U a bad <b>bitch</b> now lol	No
511	@USER @USER @USER @USER Yeah <b>bitch</b> we put him back in and beat your sorry asses the bears SUCK!! BLEW A 20-0 LEAD LMAOOOO	Yes
512	@USER @USER @USER @USER Yeah bitch we put him back in and beat your sorry <b>asses</b> the bears SUCK!! BLEW A 20-0 LEAD LMAOOOO	Yes
513	@USER @USER Picked the <b>fuck</b> up	Yes
514	@USER That’s one way to look at it. The other is that the charge is <b>bullshit</b> for almost everyone.	Yes
515	@USER @USER As I’m watching it Bentley kept looking at me 😂 he being crate trained again so we good for now. He only allowed out to eat pee and <b>shit</b> and occasionally play time 😂😂🤷🏾‍♀️	No
516	@USER You liberals... smh...tweeting stupid <b>shit</b> Trump order elimination of isis (Obama didn’t)....People! ..think about how people R not murder now (saved) because we hav killed of isis	Yes
517	@USER <b>nigga</b> we’re going next week	No
518	@USER @USER This fluffy <b>bastard</b> URL	Yes
519	@USER @USER Buckle up Democrats and liberals! The <b>shit</b> is about to hit the fan for you and the FBI/DOJ !	Yes
520	@USER @USER who really cares about any of this wack <b>ass</b> beef???😂💀	No
521	@USER And the fact he called you a <b>nigger</b> after you respectfully told him your preference damn near proves that theory 🤦🏽‍♀️	No
522	@USER And the fact he called you a nigger after you respectfully told him your preference <b>damn</b> near proves that theory 🤦🏽‍♀️	No
523	@USER NANSBABH <b>bitch</b> STFU	Yes
524	@USER That shimmmy— ok ok ok. You are that <b>bitch</b> Lmao jk	No
525	@USER @USER @USER ARE YOU <b>fucking</b> SERIOUS? I AM ITALIAN! TALK TO MY FATHER WHO WAS BORN IN SICILY OF YOUR RIDICULOUS NOTIONS. YOU'RE AN IDIOT! Why do you think the left as Antifa? STANDS FOR ANTI-FASCISM! DICTATORS ARE RIGHT WING!	Yes
526	@USER On reflection if you meant 12.47 am you are indeed <b>fucked</b>	No
527	@USER Get that <b>shit</b> off my phone Bono - I’ll never forgive you	Yes
528	6. She's a <b>fucking</b> icon. a legend. a genius. THAT bitch SHE IS QUEEN. 👑👑👑👑 @USER #NickiDaGOAT URL	No
529	6. She's a fucking icon. a legend. a genius. THAT <b>bitch</b> SHE IS QUEEN. 👑👑👑👑 @USER #NickiDaGOAT URL	No
530	@USER Consider this source ... @USER is a supreme <b>ass</b> kissing douche bag.	Yes
531	@USER Consider this source ... @USER is a supreme ass kissing <b>douche</b> bag.	Yes
532	@USER <b>fuck</b> me daddy	Yes
533	@USER All that <b>shit</b> was hers URL	Yes
534	#qanon LIBERALS ARE LIKE MONKEYS THROWING THEIR OWN <b>shit</b> AT EVERYTHING	No
535	@USER @USER @USER @USER You forgot to tag your Bulletproof <b>bullshit</b> mate @USER . You got sucked into the vortex Tom and now you are drinking all the koolaid.	Yes
536	@USER Gorgeous! And those <b>tits</b> are KILLER! ❤️	No
537	@USER We in this <b>bitch</b> together 💁🏽‍♂️	No
538	@USER ANTIFA? As in anti fascism? <b>damn</b> who wouldn't want that in America? Maybe our ancestors who fought the nazis in ww2?	Yes
539	@USER @USER @USER @USER @USER @USER @USER @USER You know you're a racist monkey huh? I'm sure you know what you are a piece of trash. I never hear these pieces of horse <b>shit</b> speak the truth only their racist lies. bitch boy it's ABOUT THE RACIST CO	Yes
540	@USER @USER @USER @USER @USER @USER @USER @USER You know you're a racist monkey huh? I'm sure you know what you are a piece of trash. I never hear these pieces of horse shit speak the truth only their racist lies. <b>bitch</b> boy it's ABOUT THE RACIST CO	Yes
541	@USER @USER @USER @USER @USER @USER @USER @USER You know you're a racist monkey huh? I'm sure you know what you are a piece of trash. I never hear these pieces of horse shit speak the truth only their racist lies. bitch boy it's ABOUT THE RACIST COPS KILL	Yes
542	@USER can't <b>fucking</b> believe it.	No
543	@USER ur a <b>fucking</b> dumbass fr. there’s no way she is anyone else’s 😂	No
544	@USER ur a fucking <b>dumbass</b> fr. there’s no way she is anyone else’s 😂	No
545	@USER What the <b>fuck</b> was that dildo rider antifa fuck going on about?	Yes
546	@USER What the fuck was that <b>dildo</b> rider antifa fuck going on about?	Yes
547	@USER What the fuck was that dildo rider antifa <b>fuck</b> going on about?	Yes
548	@USER @USER <b>fuck</b> that a bitch needs to have more class you cant act a ass because someone liked a tweet about you it dont matter who you are! #nyfw is not the place to decide to be about that life and run up and throw shoes. What Cardi Did wasnt th	Yes
549	@USER @USER fuck that a <b>bitch</b> needs to have more class you cant act a ass because someone liked a tweet about you it dont matter who you are! #nyfw is not the place to decide to be about that life and run up and throw shoes. What Cardi Did wasnt th	Yes
550	@USER @USER fuck that a bitch needs to have more class you cant act a <b>ass</b> because someone liked a tweet about you it dont matter who you are! #nyfw is not the place to decide to be about that life and run up and throw shoes. What Cardi Did wasnt th	Yes
551	@USER no she was mumbling i couldn’t hear <b>shit</b> she literally spoke w hand signs	No
552	@USER @USER @USER It was a disagreement between a <b>fucking</b> umpire and a player! It was not abusive!	Yes
553	@USER I've seen people with some the most beautiful (not to mention original) art i last my eyes on. but only have 70 followers because they get buried by half-assed <b>bullshit</b> all because they're not pals with someone popular	Yes
554	@USER @USER Liberals want Bert and Ernie to be <b>gay</b> WTAF.	No
555	@USER FINALLY HOLY <b>shit</b> YOU ARE FINALLY READING THE GOAT	No
556	@USER @USER @USER Whenever conservatives lose a court ruling, they <b>bitch</b> and moan about activist judges or agenda judges." Whenever anyone else loses a court ruling, they accept that they lost a court ruling. Conservatives are whiny babies."	No
557	@USER @USER @USER and u know what u trash too for being more worried about blaming and <b>shitting</b> on ariana for a death she’s not responsible instead of mac.	Yes
558	@USER <b>fucking</b> liar she was happy to play kate nash when you asked her	Yes
559	@USER Mmmhm I heard you from down the street gave me a few extra seconds to get my <b>shit</b> together😂	No
560	@USER @USER @USER Those VG/HC stickers I see on trucks--exclusively trucks, never cars--seem like <b>asshole</b> indicators. I can't say for sure because I've never actually spoken to someone who's like Yes, hockey should involve more punching people" but	Yes
561	@USER You're a piece of <b>shit</b> for saying that FEMA was successful in helping Puerto Rico after hurricane Maria. 3000 people died. You think that's successful? You really have no soul. You're a fucking horrible human being. I don't even think you're 	Yes
562	@USER You're a piece of shit for saying that FEMA was successful in helping Puerto Rico after hurricane Maria. 3000 people died. You think that's successful? You really have no soul. You're a <b>fucking</b> horrible human being. I don't even think you're 	Yes
563	@USER You're a piece of shit for saying that FEMA was successful in helping Puerto Rico after hurricane Maria. 3000 people died. You think that's successful? You really have no soul. You're a fucking horrible human being. I don't even think you're human. 	Yes
564	@USER I see. It's a <b>damn</b> shame how delusional he is. He's gotta be the worst. Even more than those Boston Ben stans	Yes
565	@USER <b>shit</b> i left a little bit ago to get food but if you're still there i'll drop down with all the paper your heart desires!	No
566	@USER Also she's thick as <b>shit</b> despite her posh brainy voice" on QT when the "refugee" crisis was at it's peak,she said they should come in because there may be surgeons &amp; dentists amongst them.Fecking leftie lunatic.#ScruffBag"	Yes
567	@USER Funny <b>shit</b>	No
568	@USER @USER There r 65 million that can sign to the affect that they didn't vote for an <b>asshole</b>	Yes
569	@USER I think it's more of a choice for ppl to stay hooked on <b>shit</b>	No
570	@USER Sounds like hot <b>lesbian</b> sex to me.	No
571	@USER <b>shit</b> ain’t gone work bruh URL	No
572	@USER so we load into illios insta lock torb immediate flame in all chat moira do not win a fight all game constant <b>shit</b> talking between a team mate and one of their team still have a torb im fighting a doomfist help	No
573	@USER Acting like an <b>ass</b> is not a good view.	Yes
574	@USER @USER Guy if you can't explain yourself after a day that's a good indication youre talking <b>shit</b>	Yes
575	@USER @USER @USER @USER @USER @USER What kind of dumb <b>shit</b> am I gonna read next	Yes
576	Captain Maga getting slandered? And it wasn’t from me? <b>damn</b> URL	No
577	@USER @USER @USER Still shoveling <b>shit</b> for Trump?....What kind of woman supports a liar, racist, pussy grabber?....that's what kind of woman you are."	Yes
578	@USER @USER @USER Still shoveling shit for Trump?....What kind of woman supports a liar, racist, <b>pussy</b> grabber?....that's what kind of woman you are."	No
579	@USER Be ready!! Be prepared!! Because the trump administration isn’t going to do <b>shit</b> if you get hit!! Well.. if it’s a white county you’re good.. lookout Randolph county!! Hide yo kids!! Hide yo wives!!	Yes
580	@USER Awesome Agree Yeah man Preach Wait... what did i just read? Oh <b>shit</b>	No
581	@USER @USER I'm sorry but <b>damn</b> she is hot af	No
582	@USER @USER @USER @USER @USER ...how you want to be defined"? PUL-EASE! When you live under a 24/7/365 MSMedia SHIT-SMEAR to the point you have Marxine Waters sending her ANTIFA minions out to threaten you in public places - you learn not to give a <b>fuc	No
583	@USER Y’all need to know that she is human being and knew Mac for so many years and was in a relationship with him. She’s grieving. She doesn’t have post something to prove that. AND IT IS NOT HER FAULT HE DIED LIKE <b>damn</b> Stop blaming this poor girl	No
584	@USER @USER Wish u folks luck w that. I think you’re <b>fucked</b> though.. There will never be enough pro gun folks elected in California to turn the tide on gun control. The masses are convinced guns only equal bad. They already tell u which &amp; how m	No
585	@USER @USER @USER @USER @USER @USER I have. He is desperate to see what I'm saying and report me. Shame as he usually says nothing. Another antifa <b>pussy</b> no doubt	Yes
586	@USER @USER Ikkk he is a <b>fucking</b> prince 6al3 mn al stories bta3in Disney kida ahhooo😹😭😹😭😹💜💜💜	No
587	@USER @USER @USER @USER @USER Odd. Stating opinions comes with an attack <b>cunt</b> and assumption of a streamer using boobs for attention.) It was verbal diarrhea from a person who ought to know better.	Yes
588	@USER If he doesnt want to face the responsibility for his actions then he is in the wrong job. That is without taking into account him being a bit <b>shit</b> #AVFC #BRUCEOUT	Yes
589	@USER and sometimes these edgy <b>bitch</b> boys are not secretly soft (good trope!!) they are just straight up.... abusive..... this is a very thin line to walk and dramione doesn't walk it well	Yes
590	@USER @USER @USER I think it is a safe bet that Donald is clueless on everything because he is ignorant &amp; lies so much. Ivanka knows everything &amp; will flip on all of them to save her treasonous <b>ass</b>	Yes
591	@USER Please watch the story of Welles Crowther. He is a hero. You are simply an <b>asshole</b> Be ashamed	Yes
592	@USER @USER that’s just cause the director a <b>fucking</b> beast but let’s not act like christian bale ever fuck niggas up or had wavy fighting scenes	No
593	@USER @USER that’s just cause the director a fucking beast but let’s not act like christian bale ever <b>fuck</b> niggas up or had wavy fighting scenes	No
594	@USER @USER @USER Disclaimer: My views do not necessarily reflect the views of our POTUS &amp; all Conservatives: Ladies Charged by Nature to Guard <b>vagina</b> URL	No
595	@USER @USER <b>bitch</b> i know u see the rainbow inna bio😂	No
596	@USER And people still buy their <b>shit</b> Why?	Yes
597	@USER @USER Things had Become Easy For Liberals During The Obama Administration (Liberals are Screaming: <b>damn</b> TRUTH I mean TRUMP)!	No
598	@USER we bout to start stepping out lol I ain’t doing another winter with no boo bro. <b>shit</b> cold .... literally	No
599	@USER If Kerry clown is actually doing it and admits he is and it's a crime. Throw his <b>ass</b> in jail. He should be arrested...RIGHT ???	Yes
600	@USER @USER @USER @USER Politicians talk about racism, Islamophobia, Homophobia, Rape, Drug abuse etc etc...... Do you not understand how <b>fucking</b> sick it is to ask Jess if she's discussed with her children that complete strangers hate" Mummy. I hop	Yes
601	After all the <b>shit</b> Dez was talking about Jerry and The cowboys he is a fucking clown ass dude if he go back	No
602	After all the shit Dez was talking about Jerry and The cowboys he is a <b>fucking</b> clown ass dude if he go back	Yes
603	After all the shit Dez was talking about Jerry and The cowboys he is a fucking clown <b>ass</b> dude if he go back	Yes
604	@USER You know we will <b>bitch</b> stop talking like that we gotta paper to get nigga 😎🤟🏽	No
605	@USER You know we will bitch stop talking like that we gotta paper to get <b>nigga</b> 😎🤟🏽	No
